"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"심곡본동-147",1,경기도 부천시 하우로 275,경기도 부천시 심곡본동 562-108,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-347",1,경기도 부천시 자유로 51,경기도 부천시 심곡본동-544-9,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-136",1,경기도 부천시 하우로266번길 27,경기도 부천시 심곡본동 562-18,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-045",1,경기도 부천시 경인로284번길 30-5,경기도 부천시 심곡본동 745-28,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본1동-357",1,경기도 부천시 심곡로15번길 8-4,경기도 부천시 심곡본동 595-19,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본1동-300",1,경기도 부천시 심곡로95번길 7,경기도 부천시 심곡본1동 811,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본1동-308",1,경기도 부천시 심곡로109번길 33,경기도 부천시 심곡본동 815-5(앞),,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본1동-023",1,경기도 부천시 경인로 203,경기도 부천시 심곡본동 534-14,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본1동-281",1,경기도 부천시 심곡로78번길 9,경기도 부천시 심곡본1동 805-3,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본1동-144",1,경기도 부천시 심곡로33번길 44,경기도 부천시 심곡본1동 653-1,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본1동-329",1,경기도 부천시 심곡로98번길 10-16,경기도 부천시 심곡본1동 810,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동 687-1",1,경기도 부천시 서촌로 42,경기도 부천시 송내1동 687-1,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-208",1,경기도 부천시 중동로 33,경기도 부천시 송내1동 393-3 (395 앞),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-146",1,경기도 부천시 송내대로27번길 20-5,경기도 부천시 송내1동 705-9,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-062",1,,경기도 부천시 송내동 339 -2,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-173",1,경기도 부천시 서촌로32번길 27,경기도 부천시 송내1동 694-2,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-049",1,경기도 부천시 송내대로30번길 74,경기도 부천시 송내1동-333,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-166",1,경기도 부천시 서촌로 7,경기도 부천시 송내1동 665-4 앞,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-054",1,경기도 부천시 송내대로30번길 84-10,경기도 부천시 송내1동 333-3,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-264",1,경기도 부천시 성주로23번길 22,경기도 부천시 송내1동 414,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-209",1,경기도 부천시 중동로21번길 9,경기도 부천시 송내1동 427-35,,,,,032-625-6075,경기도 부천시청,2019-09-10
"소사본1동-024",1,,경기도 부천시 소사본1동 143-20,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-111",1,,경기도 부천시 소사본1동 164-30,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-175",1,,경기도 부천시 소사본1동 180-38,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-171",1,,경기도 부천시 소사본1동 177-4,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-329",1,,경기도 부천시 소사본1동 174-2,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-173",1,,경기도 부천시 소사본1동 180-28,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-092",1,,경기도 부천시 소사본1동 162-5,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-033",1,,경기도 부천시 소사본1동 140-2,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-087",1,,경기도 부천시 소사본1동 152-7,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-081",1,,경기도 부천시 소사본1동 142-37,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"상동보행자 144",1,경기도 부천시 상이로75번길 7-23,경기도 부천시 상2동582-3호옆폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"소사본1동-199",1,,경기도 부천시 소사본1동 183-18,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-001",1,,경기도 부천시 소사본1동 산84-1,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-148",1,,경기도 부천시 소사본1동 산70-3 앞,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-202",1,,경기도 부천시 소사본1동 209-5,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-296",1,,경기도 부천시 소사본1동 232-2,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-012",1,,경기도 부천시 소사본1동 167-25,,,,,032-625-6262,경기도 부천시청,2019-09-10
"송내1동-248",1,경기도 부천시 경인로60번길 40,경기도 부천시 송내1동 398-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-319",1,,경기도 부천시 송내1동 산29-6,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-287",1,,경기도 부천시 송내1동 407-1,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동 693-4번지",1,경기도 부천시 서촌로32번길 11,경기도 부천시 송내1동 693-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-246",1,,경기도 부천시 송내1동 398-7,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-250",1,경기도 부천시 경인로60번길 14-10,경기도 부천시 송내1동 400-19,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-139",1,,경기도 부천시 송내1동 317-2 앞,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-321",1,경기도 부천시 성주로34번길 30-7,경기도 부천시 송내1동 423-6 (422-31 앞),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-001",1,,경기도 부천시 송내1동 368-2 (1),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-144",1,경기도 부천시 송내대로27번길 19-6,경기도 부천시 송내1동 704-3,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-253",1,경기도 부천시 경인로 50-18,경기도 부천시 송내1동400-13,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-007",1,경기도 부천시 중동로49번길 23,경기도 부천시 송내1동 365,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-339",1,,경기도 부천시 송내1동 441-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-326",1,,경기도 부천시 송내1동 산31-12 (441-64 앞),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-223",1,경기도 부천시 중동로 9-4,경기도 부천시 송내1동 427-31,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-273",1,경기도 부천시 경인로26번길 11,경기도 부천시 송내1동 403-7 (403-7),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-075",1,경기도 부천시 중동로 73,경기도 부천시 송내1동 529,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-102",1,경기도 부천시 경인로60번가길 12-4,경기도 부천시 송내1동 428-36,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-292",1,,경기도 부천시 송내1동 산18-10,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-200",1,경기도 부천시 경인로60번길 19,경기도 부천시 송내1동 397,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-210",1,경기도 부천시 중동로21번길 12,경기도 부천시 송내1동 395-6 앞,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-249",1,경기도 부천시 경인로60번길 14-15,경기도 부천시 송내1동 398-3(400-22앞),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-067",1,,경기도 부천시 송내1동 367 (욱일 C동 앞),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-035",1,경기도 부천시 경인로9번길 10,경기도 부천시 송내1동 329-34(329-11 옆),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-337",1,경기도 부천시 경인로9번길 80-8,경기도 부천시 송내1동 336-10,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-005",1,,경기도 부천시 송내1동 368-2 (5),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-214",1,경기도 부천시 경인로60번길 53-9,경기도 부천시 송내1동 425-10,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-282",1,,경기도 부천시 송내1동 304-6,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-042",1,경기도 부천시 경인로9번나길 7,경기도 부천시 송내1동 332-6(332-26옆),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-111",1,경기도 부천시 심곡로34번길 78-17,경기도 부천시 송내동 590-9,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-155",1,,경기도 부천시 송내2동 678,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-189",1,,경기도 부천시 송내2동 산81-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-009",1,경기도 부천시 경인로159번길 19-5,경기도 부천시 송내2동 566-6,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-065",1,,경기도 부천시 송내1동 367,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-164",1,,경기도 부천시 송내2동 산84-2,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-031",1,,경기도 부천시 송내2동 560 (육교),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-118",1,경기도 부천시 경인로150번길 75,경기도 부천시 송내2동 603-9,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-185",1,,경기도 부천시 송내2동 산77-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-168",1,경기도 부천시 성주로132번길 35,경기도 부천시 송내2동 679-7,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-051",1,경기도 부천시 심곡로10번길 42,경기도 부천시 송내2동 574-13,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-137",1,경기도 부천시 경인로138번길 91,경기도 부천시 송내2동 610,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-074",1,경기도 부천시 심곡로14번길 45,경기도 부천시 송내2동 595,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-230",1,경기도 부천시 경인로92번길 48,경기도 부천시 송내2동 432-2,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-053",1,경기도 부천시 송내대로30번길 74-15,경기도 부천시 송내1동 335-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-267",1,,경기도 부천시 송내2동 457(B),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-231",1,,경기도 부천시 송내2동 432 옆,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-218",1,경기도 부천시 성주로 81,경기도 부천시 송내1동 433-12,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-089",1,경기도 부천시 경인로170번길 106,경기도 부천시 송내2동 630-16,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-197",1,경기도 부천시 성주로 100-6,경기도 부천시 송내2동 463-62,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-227",1,경기도 부천시 경인로92번길 62,경기도 부천시 송내2동 432-5,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동 457번지",1,경기도 부천시 경인로120번길 45,경기도 부천시 송내2동 457,,,,,032-625-6075,경기도 부천시청,2019-09-10
"오정486",1,경기도 부천시 대장로 186,경기도 부천시 대장동 125,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"오정323",1,경기도 부천시 오정로211번길 35-26,경기도 부천시 오정동 387-16,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"오정475",1,,경기도 부천시 대장동 121-1,,,,,032-625-7236,경기도 부천시청,2019-09-10
"오정410",1,,경기도 부천시 대장동 283-14,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"오정316",1,경기도 부천시 오정로199번길 37,경기도 부천시 오정동 387-8,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"오정348",1,,경기도 부천시 부천오정일반산업단지,,,2009,전용주,032-625-7236,경기도 부천시청,2019-09-10
"오정491",1,경기도 부천시 대장로187번길 28,경기도 부천시 대장동 115-9,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"원미동 76",1,경기도 부천시 조마루로411번길 57 (원미동),경기도 부천시 원미1동 40-10,,,,한전주,032-625-5308,경기도 부천시청,2019-09-10
"원미동 89",1,,경기도 부천시 원미1동 29-33,,,,한전주,032-625-5309,경기도 부천시청,2019-09-10
"원미동 96",1,경기도 부천시 원미로186번길 23 (원미동),경기도 부천시 원미1동 1-13,,,,,032-625-5311,경기도 부천시청,2019-09-10
"원미동 322",1,경기도 부천시 부천로136번길 52 (원미동),경기도 부천시 원미1동 83-2,,,,한전주,032-625-5313,경기도 부천시청,2019-09-10
"오정312",1,경기도 부천시 오정로 215,경기도 부천시 오정동 202-1,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"오정229",1,경기도 부천시 부천로476번나길 55,경기도 부천시 오정동 557-17,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"원미동 229",1,경기도 부천시 조종로 13-4 (원미동),경기도 부천시 원미1동 109-14,,,,,032-625-5316,경기도 부천시청,2019-09-10
"원미동 164",1,,경기도 부천시 원미1동 163-14,,,,,032-625-5318,경기도 부천시청,2019-09-10
"원미동 155",1,경기도 부천시 원미로124번길 51 (원미동),경기도 부천시 원미1동 165-30,,,,,032-625-5320,경기도 부천시청,2019-09-10
"원미동 97",1,경기도 부천시 원미로186번길 24-5 (원미동),경기도 부천시 원미1동 11-4,,,,,032-625-5321,경기도 부천시청,2019-09-10
"심곡본동-018",1,경기도 부천시 성무로17번길 55,경기도 부천시 심곡본동 788-18,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-056",1,경기도 부천시 성무로9번길 12,경기도 부천시 심곡본동 744-44,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-176",1,경기도 부천시 성주로249번길 9-1,경기도 부천시 심곡본동 685-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-251",1,경기도 부천시 성주로214번길 43,경기도 부천시 심곡본동 566-13,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-154",1,경기도 부천시 하우로 267,경기도 부천시 심곡본동 562-224,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-121",1,경기도 부천시 하우로 297-1,경기도 부천시 심곡본동 727-7,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-077",1,,경기도 부천시 심곡본동 745-8,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-361",1,경기도 부천시 자유로 40,경기도 부천시 심곡본동 542-13,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-383",1,경기도 부천시 성주로231번길 31,경기도 부천시 심곡본동 695-3,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-076",1,경기도 부천시 성무로17번길 19,경기도 부천시 심곡본동 744-21,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-371",1,경기도 부천시 경인로274번길 30,경기도 부천시 심곡본동 744-25,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-138",1,경기도 부천시 경인로138번길 91,경기도 부천시 송내2동 610,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-014",1,경기도 부천시 경인로137번가길 50,경기도 부천시 송내2동 572-3,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-139",1,경기도 부천시 성주로 130-5,경기도 부천시 송내2동 612-6,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-252",1,경기도 부천시 경인로100번길 18,경기도 부천시 송내2동 387-16,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동 601-1번지",1,경기도 부천시 경인로160번길 70,경기도 부천시 송내2동 601-1,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-061",1,경기도 부천시 심곡로14번길 64,경기도 부천시 송내2동 579-13,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-184",1,,경기도 부천시 송내2동 산77-4,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-260",1,,경기도 부천시 송내2동 382-1,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-263",1,경기도 부천시 경인로120번길 14,경기도 부천시 송내2동 383-21,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-224",1,경기도 부천시 경인로120번길 82,경기도 부천시 송내2동 455,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-102",1,경기도 부천시 경인로160번길 49,경기도 부천시 송내2동 597-11,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-225",1,경기도 부천시 경인로92번길 68,경기도 부천시 송내2동 432-16,,,,,032-625-6075,경기도 부천시청,2019-09-10
"소사본3동-095",1,경기도 부천시 소사로170번길 32,경기도 부천시 소사본3동 201-7,,,2004,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-287",1,경기도 부천시 소사로126번길 41-1,경기도 부천시 소사본3동 221-22,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"송내2동-030",1,,경기도 부천시 송내2동 560(육교),,,,,032-625-6075,경기도 부천시청,2019-09-10
"소사본3동-238",1,경기도 부천시 소사로148번길 29-10,경기도 부천시 소사본3동 218-19,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-352",1,경기도 부천시 소사로160번길 72,경기도 부천시 소사본3동 286-19,,,2010,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-353",1,경기도 부천시 소삼로36번길 33,경기도 부천시 소사본3동 155-32,,,2010,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-276",1,,경기도 부천시 소사본3동 323 (301-87 삼거리),,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-282",1,경기도 부천시 소사로148번길 40-9,경기도 부천시 소사본3동 222-9,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-255",1,경기도 부천시 소사로134번길 7,경기도 부천시 소사본3동 230-26,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-086",1,경기도 부천시 소사로148번나길 16,경기도 부천시 소사본3동 230-11,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-094",1,경기도 부천시 소사로170번길 22,경기도 부천시 소사본3동 202-32,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-195",1,,경기도 부천시 소사본3동 421-7 (278-54 앞),,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-315",1,경기도 부천시 은성로98번길 108,경기도 부천시 소사본3동 285-20 앞,,,,,032-625-6262,경기도 부천시청,2019-09-10
"송내2동-259",1,,경기도 부천시 송내2동 456-5,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동 601-1번지",1,경기도 부천시 경인로160번길 70,경기도 부천시 송내2동 601-1번지,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내동 671",1,경기도 부천시 성주로132번길 22-12,경기도 부천시 송내동 671,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-303",1,경기도 부천시 경인로137번가길 14,경기도 부천시 송내2동 562-7,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동 452-12번지",1,경기도 부천시 성주로80번길 16,경기도 부천시 송내2동 452-12,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-156",1,,경기도 부천시 송내2동 678 (새벽교회),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-242",1,,경기도 부천시 송내2동 388 (388-1옆),,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-150",1,경기도 부천시 마니로24번길 52,경기도 부천시 송내2동 676,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-034",1,경기도 부천시 경인로133번길 8,경기도 부천시 송내2동 557-1,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-315",1,경기도 부천시 성주로108번길 16,경기도 부천시 송내2동 463-90,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-146",1,경기도 부천시 성주로132번길 22-8,경기도 부천시 송내2동 671-1,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-141",1,경기도 부천시 성주로 136-6,경기도 부천시 송내2동 628-21,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-281",1,경기도 부천시 성주로 103-5,경기도 부천시 송내2동 440-17,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-130",1,경기도 부천시 심곡로46번길 76-11,경기도 부천시 송내2동 606-14,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-079",1,경기도 부천시 심곡로34번길 38-12,경기도 부천시 송내2동 598-3,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-052",1,경기도 부천시 심곡로10번길 35,경기도 부천시 송내2동 575-15,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-070",1,경기도 부천시 심곡로22번길 84,경기도 부천시 송내2동 591-5,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-296",1,,경기도 부천시 송내2동 산84-2,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내2동-047",1,경기도 부천시 심곡로10번길 63,경기도 부천시 송내2동 576-2,,,,,032-625-6075,경기도 부천시청,2019-09-10
"소사본3동-061",1,경기도 부천시 소삼로30번길 35-5,경기도 부천시 소사본3동 154-11,,,2002,,032-625-6262,경기도 부천시청,2019-09-10
"소사본3동-006",1,경기도 부천시 은성로67번길 49,경기도 부천시 소사본3동 136-8,,,,,032-625-6262,경기도 부천시청,2019-09-10
"원미동 345",1,경기도 부천시 원미로149번길 4 (원미동),경기도 부천시 원미1동 57,,,,,032-625-5325,경기도 부천시청,2019-09-10
"원미동 75",1,경기도 부천시 조마루로385번길 96 (원미동),경기도 부천시 원미1동 39-1,,,,한전주,032-625-5326,경기도 부천시청,2019-09-10
"원미동 358",1,경기도 부천시 원미로149번길 49-4 (원미동),경기도 부천시 원미1동 65,,,,한전주,032-625-5327,경기도 부천시청,2019-09-10
"원미동 363",1,경기도 부천시 부천로136번길 27 (원미동),경기도 부천시 원미1동 71,,,,한전주,032-625-5328,경기도 부천시청,2019-09-10
"원미동 192",1,"경기도 부천시 원미로144번길 19 (원미동, 원미연립)",경기도 부천시 원미1동 156-13,,,,,032-625-5329,경기도 부천시청,2019-09-10
"원미동 106",1,경기도 부천시 원미로124번길 42 (원미동),경기도 부천시 원미1동 162-9,,,,한전주,032-625-5331,경기도 부천시청,2019-09-10
"원미동 60",1,경기도 부천시 원미로177번길 37 (원미동),경기도 부천시 원미1동 33-6,,,2007,한전주,032-625-5333,경기도 부천시청,2019-09-10
"원미동 105",1,,경기도 부천시 원미1동 10-23,,,,,032-625-5334,경기도 부천시청,2019-09-10
"오정464",1,경기도 부천시 대장로 159,경기도 부천시 대장동 217-5,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"원미동 270",1,경기도 부천시 원미로131번길 35 (원미동),경기도 부천시 원미1동 99-1,,,,한전주,032-625-5337,경기도 부천시청,2019-09-10
"원미동 368",1,경기도 부천시 부천로148번길 29 (원미동),경기도 부천시 원미1동 68-14,,,,한전주,032-625-5339,경기도 부천시청,2019-09-10
"원미동 231",1,경기도 부천시 부천로110번길 4-1 (원미동),경기도 부천시 원미1동 108-7,,,,,032-625-5341,경기도 부천시청,2019-09-10
"원미동 225",1,경기도 부천시 조마루로398번길 59 (원미동),경기도 부천시 원미1동 86-5,,,,,032-625-5324,경기도 부천시청,2019-09-10
"원미동 107",1,경기도 부천시 원미로124번길 36 (원미동),경기도 부천시 원미1동 162-109,,,,한전주,032-625-5342,경기도 부천시청,2019-09-10
"원미동 198",1,"경기도 부천시 원미로156번가길 32-14 (원미동, 삼협연립)",경기도 부천시 원미1동 151-6,,,,,032-625-5344,경기도 부천시청,2019-09-10
"원미동 285",1,"경기도 부천시 원미로131번길 6 (원미동, 백조연립)",경기도 부천시 원미1동 78-14,,,,한전주,032-625-5346,경기도 부천시청,2019-09-10
"신흥24",1,경기도 부천시 석천로342번길 28,경기도 부천시 삼정동 281-29,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"신흥36",1,경기도 부천시 중동로419번길 21,경기도 부천시 삼정동 289-8,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"신흥121",1,,경기도 부천시 삼정동 350-8,,,,한전주,032-625-7236,경기도 부천시청,2019-09-10
"신흥727",1,경기도 부천시 신흥로416번길 66,경기도 부천시 내동 134-1,,,2010,한전주,032-625-7236,경기도 부천시청,2019-09-10
"심곡본동-213",1,경기도 부천시 경인로216번길 105,경기도 부천시 심곡본동 643-1 (699-20 앞),,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-019",1,경기도 부천시 성무로17번길 53-8,경기도 부천시 심곡본동 788-31,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-182",1,경기도 부천시 경인로216번길 71-1,경기도 부천시 심곡본동 649-8,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-141",1,경기도 부천시 하우로282번길 20,경기도 부천시 심곡본동 562-170,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-315",1,경기도 부천시 경인로224번길 37,경기도 부천시 심곡본동 682-2,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-094",1,경기도 부천시 성무로31번길 3,경기도 부천시 심곡본동 530-423,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-011",1,경기도 부천시 경인로294번길 17,경기도 부천시 심곡본동 796-25,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-172",1,경기도 부천시 경인로234번길 59-5,경기도 부천시 심곡본동 687-18 (건물계단),,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-007",1,경기도 부천시 경인로294번길 13-12,경기도 부천시 심곡본동 523-49,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-330",1,경기도 부천시 성주로 257,경기도 부천시 심곡본동 678-15,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-333",1,경기도 부천시 경인로 293-1,경기도 부천시 심곡본동 776-2,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-342",1,경기도 부천시 경인로 251-5,경기도 부천시 심곡본동 551-9(8),,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-271",1,,경기도 부천시 심곡본동 731 (728 앞-3),,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-288",1,경기도 부천시 경인로248번길 7,경기도 부천시 심곡본동 738-1,,,,,032-625-6075,경기도 부천시청,2019-09-10
"심곡본동-241",1,경기도 부천시 성주로 214,경기도 부천시 심곡본동 709-6,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-050",1,경기도 부천시 송내대로30번길 74-17,경기도 부천시 송내1동 335-26,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내동 441-80번지",1,경기도 부천시 성주로34번길 42,경기도 부천시 송내동 441-80,,,,,032-625-6075,경기도 부천시청,2019-09-10
"송내1동-333",1,경기도 부천시 서촌로44번길 17,경기도 부천시 송내1동 685-3,,,,,032-625-6075,경기도 부천시청,2019-09-10
